STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202204,1,31,울산광역시,884042,4,11920,1455000009,1356482630,1129747239,226735391,98517380,10065664
202204,1,45,전라북도,1356175,4,9611,2099744751,1982213190,1651950551,330262640,117531561,11693008
202204,1,47,경상북도,1978503,3,9056,2766055625,2592538681,2155520613,437018068,173516945,16285117
202204,1,30,대전광역시,1216956,4,11648,2118705206,1999800735,1672432624,327368112,118904471,17850386
202204,1,29,광주광역시,1165067,4,11657,2090220709,1972332748,1647594762,324737986,117887961,13131706
202204,1,42,강원도,1156554,3,10050,1844691090,1731245777,1424731176,306514601,113445313,10982913
202204,1,28,인천광역시,2358202,4,11647,3840973258,3575994417,2892008551,683985866,264978842,42152001
202204,1,50,제주특별자치도,519340,4,9956,915011200,859890280,708619604,151270676,55120920,7638534
202204,1,36,세종특별자치시,269208,5,15802,565045512,539131973,460245759,78886214,25913538,6488996
202204,1,11,서울특별시,8091903,4,13155,15243540083,14370762959,12064503281,2306259678,872777124,288580484
202204,1,46,전라남도,1332654,3,8737,1951381775,1840389719,1529095070,311294649,110992056,9261055
202204,1,44,충청남도,1669103,3,9542,2639580830,2495795939,2084974466,410821473,143784890,17633106
202204,1,48,경상남도,2539925,4,10532,3952377871,3687177352,3019212624,667964729,265200519,25920767
202204,1,27,대구광역시,1951313,4,11568,3067637620,2867348214,2347575808,519772406,200289406,25100405
202204,1,41,경기도,10811618,4,12875,19954270816,18780932513,15619168594,3161763918,1173338303,231372536
202204,1,26,부산광역시,2645483,4,12187,4292567608,3978290740,3199830754,778459986,314276869,40693773
202204,1,43,충청북도,1266378,4,9748,1966627379,1853314611,1550291457,303023154,113312768,13378499
